Num_packet	Acc_X	Acc_Y	Acc_Z	Rot_X	Rot_Y	Rot_Z	Temp	Pre	    Alt	Temps_s	Temps_ms
[Id]        [m/s^2] [m/s^2] [m/s^2] [°/s]   [°/s]   [°/s]   [°C]    [Pa]    [m] [s]     [ms]
--------------------------------------------------------------------------------------------------------
622	-0.65	0.36	0.35	38.25	21.94	29.92	27.21	-1066	44330.00	132	56
623	-0.63	0.37	0.36	26.82	27.64	27.82	27.31	-1073	44330.00	132	256
625	-0.67	0.37	0.37	32.64	24.68	29.80	27.26	-1073	44330.00	132	656
626	-0.67	0.37	0.37	45.14	9.98	25.93	27.21	-1079	44330.00	132	856
627	-0.67	0.36	0.34	39.77	16.57	31.05	27.40	-1076	44330.00	133	56
628	-0.65	0.38	0.34	-1.23	61.88	39.92	27.31	-1079	44330.00	133	256
629	-0.69	0.38	0.36	31.02	24.28	26.30	27.26	-1076	44330.00	133	456
630	-0.64	0.42	0.44	25.11	24.95	24.98	27.26	-1076	44330.00	133	656
631	-0.62	0.43	0.41	35.57	18.09	27.91	27.31	-1084	44330.00	133	856
632	-0.69	0.40	0.35	51.27	6.51	27.12	27.31	-1066	44330.00	134	56
633	-0.66	0.39	0.36	34.35	24.07	30.93	27.31	-1073	44330.00	134	256
634	-0.65	0.41	0.37	43.95	13.31	29.95	27.21	-1076	44330.00	134	456
635	-0.66	0.39	0.34	32.91	17.76	25.72	27.26	-1073	44330.00	134	656
636	-0.68	0.41	0.36	30.08	28.25	28.16	27.26	-1076	44330.00	134	856
637	-0.70	0.40	0.32	47.79	8.61	30.38	27.35	-1076	44330.00	135	56
638	-0.68	0.42	0.37	49.38	9.28	29.13	27.31	-1066	44330.00	135	256
639	-0.64	0.38	0.36	30.23	24.95	27.97	27.31	-1073	44330.00	135	456
640	-0.70	0.39	0.38	33.64	19.44	26.94	27.40	-1066	44330.00	135	656
641	-0.69	0.37	0.32	22.21	22.85	26.05	27.35	-1066	44330.00	135	856
642	-0.68	0.43	0.29	29.32	25.14	32.09	27.35	-1054	44330.00	136	56
643	-0.69	0.40	0.36	54.80	5.81	26.23	27.35	-1066	44330.00	136	256
644	-0.65	0.39	0.34	29.74	25.35	30.87	27.31	-1060	44330.00	136	456
645	-0.69	0.42	0.36	29.99	19.41	23.98	27.31	-1060	44330.00	136	656
646	-0.64	0.41	0.42	17.43	31.30	26.87	27.26	-1054	44330.00	136	856
647	-0.60	0.41	0.33	40.87	14.86	28.06	27.17	-1054	44330.00	137	56
648	-0.72	0.41	0.40	14.74	52.97	41.60	27.35	-1060	44330.00	137	256
649	-0.59	0.43	0.32	51.60	-7.91	23.31	27.40	-1054	44330.00	137	456
650	-0.70	0.39	0.32	11.21	37.91	35.38	27.31	-1060	44330.00	137	656
651	-0.52	0.79	1.26	-84.25	162.45	36.14	27.31	-1054	44330.00	137	856
652	-0.46	0.53	-0.15	260.23	-207.70	43.25	27.26	-1051	44330.00	138	56
653	-0.32	0.45	0.76	50.41	0.81	26.60	27.45	-1048	44330.00	138	256
654	-0.21	0.17	-0.05	-269.13	255.02	-9.59	27.26	-1051	44330.00	138	456
655	-0.51	0.50	0.33	187.55	-111.27	44.50	27.21	-1037	44330.00	138	656
656	-0.42	0.51	1.21	-9.07	86.27	17.76	27.31	-1042	44330.00	138	856
657	-0.48	0.16	0.02	-107.45	93.89	10.35	27.31	-1037	44330.00	139	56
658	-0.50	0.48	0.16	155.87	-92.94	36.63	27.26	-1037	44330.00	139	256
659	-0.40	0.48	0.53	110.23	-59.19	24.80	27.26	-1026	44330.00	139	456
